question	Option_A 	Option_B	Option_C 	Option_D	Correct_Answer	Explanation
An adversary is attempting to gain unauthorized access to a SaaS application using a brute force attack. Which of the following SaaS applications is most likely to be targeted by the adversary?	Google Drive	Microsoft OneDrive	Microsoft SharePoint	Dropbox	C	Microsoft SharePoint
An adversary is performing a password guessing attack on a Windows domain. What event ID might be generated as a result of multiple failed login attempts?	4624	4625	4672	4771	B	4625
An adversary is attempting to brute force credentials for a Kerberos authentication. What port would the adversary most likely use to perform this attack?	80	135	3389	445	B	135
An adversary is using a brute force attack against a wifi router. What wireless authentication protocol might the adversary target?	WPA2-Enterprise	WPA2-Personal	WPA-Enterprise	WPA-Personal	D	WPA-Personal
An adversary is using a brute force attack against a Kubernetes cluster to gain unauthorized access. Which of the following tools is most likely to be used by the adversary?	Mimikatz	CrackMapExec	Metasploit	PowerShell Empire	B	CrackMapExec
An adversary is using a password guessing attack against a list of mailboxes. Which APT group is most likely to have conducted this attack?	APT28	APT29	APT32	APT34	B	APT29
An adversary is using a tool to perform a brute force attack against a target system. Which of the following MITRE ATT&CK techniques would best describe the adversary's actions?	T1078 (Command and Scripting Interpreter)	T1110 (Brute Force)	T1087 (PowerShell)	T1086 (PowerShell Empire)	B	T1110 (Brute Force)
An adversary is using a password guessing attack against a PostgreSQL database. What type of service might the adversary be targeting?	SSH	FTP	MySQL	PostgreSQL	D	PostgreSQL
An adversary is using a brute force attack against a target system to gain unauthorized access. What might the adversary do to avoid detection by the system's login failure policies?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a brute force attack against a target system to gain unauthorized access. What might the adversary do to increase the chances of success?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to avoid account lockouts?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	C	Use a list of system-specific passwords
An adversary is using a brute force attack against a target system's email application. What might the adversary do to increase the chances of success?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a brute force attack against a target system's management service. What might the adversary do to increase the chances of success?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to avoid detection by the system's security team?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	C	Use a list of system-specific passwords
An adversary is using a brute force attack against a target system's management service. What might the adversary do to increase the chances of success?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the speed of the attack?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the scope of the attack?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a brute force attack against a target system's SSO application. What might the adversary do to increase the chances of success?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the chances of success if the system has account lockout policies in place?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the chances of success if the system has a strong password policy in place?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	A	Use a list of complex passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the chances of success if the system has a password history in place?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the chances of success if the system has multi-factor authentication in place?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the chances of success if the system has conditional access policies in place?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the chances of success if the system has account lockout policies in place that require a certain number of failed login attempts before locking the account?	Use a list of complex passwords	Use a list of common passwords	Use a list of system-specific passwords	Use a list of dictionary words	B	Use a list of common passwords
An adversary is attempting to gather browser information to learn more about compromised environments. What type of data may they be looking for?	Operating system and hardware information	Network traffic patterns and communication channels	Personal information about users and details about internal network resources	Domain controllers and other critical infrastructure components	C	Browser information may reveal personal information about users (e.g., banking sites, relationships/interests, social media, etc.) as well as details about internal network resources such as servers, tools/dashboards, or other related infrastructure.
In which location is browser information typically stored in a Google Chrome installation?	%USERPROFILE%\AppData\Local\Google\Chrome\User Data\LocalState	%APPDATA%/Google/Chrome/History	%APPDATA%/Google/Chrome/Bookmarks	%APPDATA%/Google/Chrome/Favorites	A	The %USERPROFILE%\AppData\Local\Google\Chrome\User Data\LocalState file contains browser information in a Google Chrome installation.
Which threat group is known to collect browser bookmark information to learn more about compromised hosts, obtain personal information about users, and acquire details about internal network resources?	APT32	APT38	APT29	APT28	B	APT38 has collected browser bookmark information to learn more about compromised hosts, obtain personal information about users, and acquire details about internal network resources.
Which MITRE ATT&CK technique does the Calisto malware use to gather browser bookmark information?	T1003: File and Directory Discovery	T1085: Remote Access Software	T1086: PowerShell	T1110: Exploit Public-Facing Application	A	Calisto collects information on bookmarks from Google Chrome, which falls under the T1003: File and Directory Discovery technique.
Which malware family can monitor browser activity for online banking actions and display full-screen overlay images to block user access to the intended site or present additional data fields?	Zeus	Dridex	TrickBot	Mispadu	D	Mispadu can monitor browser activity for online banking actions and display full-screen overlay images to block user access to the intended site or present additional data fields.
Which malware family has a browser info stealer module that can read Chrome and Edge browser database files?	RedLine	Vawtrak	PowerLess	Cryptolocker	C	PowerLess has a browser info stealer module that can read Chrome and Edge browser database files.
Which MITRE ATT&CK technique does DarkWatchman use to retrieve browser history?	T1003: File and Directory Discovery	T1085: Remote Access Software	T1086: PowerShell	T1105: Data from Local System	D	DarkWatchman can retrieve browser history, which falls under the T1105: Data from Local System technique.
Which malware family can upload victim browser bookmarks to its C2 server?	MobileOrder	Carbanak	Cobalt Strike	Raccoon Stealer	A	MobileOrder has a command to upload to its C2 server victim browser bookmarks.
Which MITRE ATT&CK technique does Empire use to gather browser data such as bookmarks and visited sites?	T1003: File and Directory Discovery	T1085: Remote Access Software	T1086: PowerShell	T1105: Data from Local System	A	Empire has the ability to gather browser data such as bookmarks and visited sites, which falls under the T1003: File and Directory Discovery technique.
Which malware family can retrieve browser history and database files?	Lazarus	Lazarus Group	Lizar	Lokibot	C	Lizar can retrieve browser history and database files.
Which MITRE ATT&CK technique does Machete use to retrieve user profile data (e.g., browsers) from Chrome and Firefox browsers?	T1003: File and Directory Discovery	T1085: Remote Access Software	T1086: PowerShell	T1105: Data from Local System	A	Machete retrieves the user profile data (e.g., browsers) from Chrome and Firefox browsers, which falls under the T1003: File and Directory Discovery technique.
Which threat group can collect the contents of the %USERPROFILE%\AppData\Local\Google\Chrome\User Data\LocalState file?	APT27	APT30	Mafalda	APT33	C	Mafalda can collect the contents of the %USERPROFILE%\AppData\Local\Google\Chrome\User Data\LocalState file.
Which malware family can monitor browser activity for online banking actions and present additional data fields?	GootKit	Zloader	Mispadu	Cryptolocker	C	Mispadu can monitor browser activity for online banking actions and present additional data fields.
Which MITRE ATT&CK technique does Scattered Spider use to retrieve browser histories via infostealer malware such as Raccoon Stealer?	T1003: File and Directory Discovery	T1085: Remote Access Software	T1105: Data from Local System	T1140: Web Service Call	C	Scattered Spider retrieves browser histories via infostealer malware such as Raccoon Stealer, which falls under the T1105: Data from Local System technique.
Which malware family can collect browser bookmark and history information?	SUGARDUMP	RedLine	Vawtrak	Lokibot	A	SUGARDUMP has collected browser bookmark and history information.
Which system management tool can gather browser information using APIs?	Windows Management Instrumentation	PowerShell	SMB	WMI Event Consumption	A	System management tools such as Windows Management Instrumentation can use APIs to gather browser information.
What is the purpose of a malicious browser extension?	To modify browser privacy settings for Defense Evasion	To install additional malware for persistence	To steal user information such as financial data	To create a botnet used for Command and Control	D	Malicious browser extensions can be used to create a botnet for Command and Control.
How can adversaries install malicious browser extensions on a macOS system?	By exploiting vulnerabilities in the browser	Through social engineering	By manipulating the mobile configuration file	By silently installing .mobileconfig files via the command line using the profiles tool	D	In macOS, adversaries could silently install browser extensions via the command line using the profiles tool.
What MITRE ATT&CK Technique is used to install a malicious browser extension?	T1086 - PowerShell	T1176 - Browser Plugin/Extension Abuse	T1078 - Valid Accounts	T1140 - Exploit Public Facing Application	B	Browser Plugin/Extension Abuse (T1176) is the MITRE ATT&CK Technique used to install a malicious browser extension.
What is a legitimate use of a browser extension?	To browse to websites in the background without user knowledge	To steal all information that a user enters into a browser	To be used as an installer for a RAT for persistence	To modify browser permissions and components for Defense Evasion	D	Browser extensions can be used to modify browser permissions and components for Defense Evasion, but they are not intended to be used for malicious purposes such as browsing to websites in the background without user knowledge or stealing user information.
What is the effect of installing a malicious browser extension?	It can create a botnet used for Command and Control	It can modify browser permissions and components for Defense Evasion	It can steal all information that a user enters into a browser	It can browse to websites in the background without user knowledge	A	A malicious browser extension can be used to create a botnet for Command and Control.
Which of the following is a method for an adversary to install additional malicious browser extensions?	Manipulating the update URL of an existing extension	Manipulating the mobile configuration file	Exploiting a browser vulnerability	Social engineering the user into installing the extension	A	An adversary can manipulate the update URL of an existing extension to install additional malicious browser extensions.
What is the impact of having outdated browser extensions?	They can be vulnerable to exploitation by attackers	They can steal user information when the browser is in use	They can create a botnet used for Command and Control	They can modify browser permissions and components for Defense Evasion	A	Outdated browser extensions can be vulnerable to exploitation by attackers.
What is the best practice for managing browser extensions?	Allow any browser extension to be installed without restriction	Install browser extensions from any source without verifying them	Set a browser extension allow or deny list as appropriate for your security policy	Close out all browser sessions when finished using them to prevent any potentially malicious extensions from continuing to run	C	The best practice for managing browser extensions is to set a browser extension allow or deny list as appropriate for your security policy.
How can adversaries bypass security in browser app stores?	By exploiting vulnerabilities in the browser	Through social engineering	By manipulating the update URL of an existing extension	By compromising the browser app store server	B	Adversaries may bypass security in browser app stores through social engineering.
What is the purpose of the profiles tool in macOS?	To install malicious browser extensions	To install additional malware for persistence	To modify browser permissions and components for Defense Evasion	To manage user accounts	A	The profiles tool in macOS can be used to install malicious browser extensions.
What is the effect of the Bundlore malware?	It installs malicious browser extensions that are used to hijack user searches	It modifies browser permissions and components for Defense Evasion	It creates a botnet used for Command and Control	It steals financial data	A	The Bundlore malware installs malicious browser extensions that are used to hijack user searches.
What is the effect of the Grandoreiro malware?	It installs malicious browser extensions that are used to hijack user searches	It modifies browser permissions and components for Defense Evasion	It creates a botnet used for Command and Control	It steals cookies and other user information	D	The Grandoreiro malware steals cookies and other user information.
What is the effect of the Kimsuky malware?	It installs malicious browser extensions that are used to hijack user searches	It modifies browser permissions and components for Defense Evasion	It creates a botnet used for Command and Control	It steals passwords and cookies	D	The Kimsuky malware steals passwords and cookies.
What is the effect of the Mispadu malware?	It installs malicious browser extensions that are used to hijack user searches	It modifies browser permissions and components for Defense Evasion	It creates a botnet used for Command and Control	It steals financial data	D	The Mispadu malware steals financial data.
What is the effect of the OSX/Shlayer malware?	It installs malicious browser extensions that are used to hijack user searches	It modifies browser permissions and components for Defense Evasion	It creates a botnet used for Command and Control	It serves ads	D	The OSX/Shlayer malware serves ads.
What is the best practice for installing browser extensions?	Install browser extensions from any source without verifying them	Allow any browser extension to be installed without restriction	Only install browser extensions from trusted sources that can be verified	Install browser extensions directly without using a browser's app store	C	The best practice for installing browser extensions is to only install them from trusted sources that can be verified.
What is the impact of leaving browser sessions open?	It can allow potentially malicious extensions to continue to run	It can create a botnet used for Command and Control	It can modify browser permissions and components for Defense Evasion	It can steal user information when the browser is in use	A	Leaving browser sessions open can allow potentially malicious extensions to continue to run.
What is the best practice for monitoring for malicious browser extensions?	Monitor executed commands and arguments for usage of the profiles tool, such as profiles install -type=configuration	Monitor for newly constructed files and/or all installed extensions maintain a plist file in the /Library/Managed Preferences/username/ directory	Monitor for newly constructed network connections that are sent or received by untrusted hosts	Monitor for any new items written to the Registry or PE files written to disk	A	The best practice for monitoring for malicious browser extensions is to monitor executed commands and arguments for usage of the profiles tool, such as profiles install -type=configuration.
What is the best practice for updating browsers and browser extensions?	Update browsers and browser extensions as soon as new versions are available	Only update browsers and browser extensions manually	Use automated tools to update browsers and browser extensions	Update browsers and browser extensions only when there is a known vulnerability	A	The best practice for updating browsers and browser extensions is to update them as soon as new versions are available.
In a domain-controlled environment, an adversary has obtained administrator credentials for a high-level system. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform defense evasion	Perform lateral movement	D	By having administrator credentials, the adversary can move laterally across the network, potentially accessing additional high-level systems.
In a domain-controlled environment, an adversary has obtained a user account's password through password reuse. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	Perform defense evasion	A	With the user account's password, the adversary can log in to the system and potentially access resources based on the account's permissions.
In a domain-controlled environment, an adversary has compromised the LSASS process memory to obtain domain administrator credentials. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	Perform defense evasion	C	With the domain administrator credentials, the adversary can move laterally across the network, potentially accessing additional high-level systems.
In a domain-controlled environment, an adversary has obtained a service account's password through password reuse. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	Perform defense evasion	C	With the service account's password, the adversary can access resources based on the account's permissions and potentially move laterally across the network.
In a domain-controlled environment, an adversary has used Mimikatz to dump LSASS process memory and obtain a domain administrator's credentials. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	Perform defense evasion	C	With the domain administrator's credentials, the adversary can move laterally across the network, potentially accessing additional high-level systems.
An adversary has used a compromised domain account to gain access to a target environment. This technique is associated with the MITRE ATT&CK ID(s):	T1078:001 - OS Credential Dumping	T1087 - Remote Services	T1021:003 - Remote Desktop Protocol	T1036:001 - PowerShell	A	The adversary used a compromised domain account to gain access to the target environment, which is a form of OS Credential Dumping.
An adversary has used a compromised VPN account for lateral movement on a targeted network. This technique is associated with the MITRE ATT&CK ID(s):	T1078:001 - OS Credential Dumping	T1087 - Remote Services	T1021:003 - Remote Desktop Protocol	T1120 - External Remote Services	D	The adversary used a compromised VPN account for lateral movement, which is a form of External Remote Services.
An adversary has used a compromised domain administrator account for lateral movement within a victim domain. This technique is associated with the MITRE ATT&CK ID(s):	T1078:001 - OS Credential Dumping	T1087 - Remote Services	T1021:003 - Remote Desktop Protocol	T1120:001 - Horizontal Lateral Movement	D	The adversary used a compromised domain administrator account for lateral movement, which is a form of Horizontal Lateral Movement.
An adversary has used a compromised domain administrator account to escalate privileges within a victim domain. This technique is associated with the MITRE ATT&CK ID(s):	T1078:001 - OS Credential Dumping	T1087 - Remote Services	T1136:001 - Impersonate a Privileged User	T1033:001 - Credential Dumping	C	The adversary used a compromised domain administrator account to impersonate a privileged user, which is a form of Impersonate a Privileged User.
An adversary has used a compromised domain administrator account to evade detection by disguising malicious activity as legitimate activity. This technique is associated with the MITRE ATT&CK ID(s):	T1078:001 - OS Credential Dumping	T1087 - Remote Services	T1135 - Data Obfuscation	T1027:002 - Obfuscated Files or Information	D	The adversary used a compromised domain administrator account to evade detection by disguising malicious activity as legitimate activity, which is a form of Obfuscated Files or Information.
An adversary has used a compromised domain account to access sensitive data stored on a file share. This technique is associated with the MITRE ATT&CK ID(s):	T1021:003 - Remote Desktop Protocol	T1087 - Remote Services	T1003:003 - Data from Local System	T1026:001 - SMB/CIFS	D	The adversary used a compromised domain account to access sensitive data stored on a file share, which is a form of SMB/CIFS.
An adversary has used a compromised domain account to execute malicious commands on a remote system. This technique is associated with the MITRE ATT&CK ID(s):	T1021:003 - Remote Desktop Protocol	T1087 - Remote Services	T1105 - Command and Scripting Interpreter	T1086 - PowerShell	C	The adversary used a compromised domain account to execute malicious commands on a remote system, which is a form of Command and Scripting Interpreter.
In a domain-controlled environment, an adversary has compromised a high-level system's domain administrator account. The organization has implemented multiple-factor authentication (MFA) for all domain administrator accounts. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	Bypass MFA and gain access to the domain administrator account	D	The adversary aims to bypass MFA to gain access to the domain administrator account, as MFA is specifically designed to prevent this.
In a domain-controlled environment, an adversary has compromised a high-level system's domain administrator account. The organization has not implemented multi-factor authentication (MFA) for domain administrator accounts. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the domain administrator account, the adversary can gain initial access to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has compromised a high-level system's service account. The organization has implemented multi-factor authentication (MFA) for all service accounts. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	Bypass MFA and gain access to the service account	D	The adversary aims to bypass MFA to gain access to the service account, as MFA is specifically designed to prevent this.
In a domain-controlled environment, an adversary has compromised a high-level system's service account. The organization has not implemented multi-factor authentication (MFA) for service accounts. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the service account, the adversary can gain initial access to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a domain administrator's credentials through password reuse. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the domain administrator's credentials, the adversary can log in to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a domain administrator's credentials through password spraying. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the domain administrator's credentials, the adversary can log in to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a domain administrator's credentials through a phishing attack. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the domain administrator's credentials, the adversary can log in to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a domain administrator's credentials through a pass-the-hash attack. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the domain administrator's credentials, the adversary can log in to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a domain administrator's credentials through a keylogger. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the domain administrator's credentials, the adversary can log in to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a user account's credentials through a phishing attack. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the user account's credentials, the adversary can log in to the system and potentially access resources based on the account's permissions.
In a domain-controlled environment, an adversary has obtained a user account's credentials through a keylogger. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the user account's credentials, the adversary can log in to the system and potentially access resources based on the account's permissions.
In a domain-controlled environment, an adversary has obtained a service account's credentials through a phishing attack. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the service account's credentials, the adversary can gain initial access to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a service account's credentials through a keylogger. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the service account's credentials, the adversary can gain initial access to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a user account's credentials through password reuse. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the user account's credentials, the adversary can log in to the system and potentially access resources based on the account's permissions.
In a domain-controlled environment, an adversary has obtained a user account's credentials through password spraying. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the user account's credentials, the adversary can log in to the system and potentially access resources based on the account's permissions.
In a domain-controlled environment, an adversary has obtained a user account's credentials through a pass-the-hash attack. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the user account's credentials, the adversary can log in to the system and potentially access resources based on the account's permissions.
In a domain-controlled environment, an adversary has obtained a service account's credentials through password reuse. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the service account's credentials, the adversary can gain initial access to the system and potentially perform additional actions such as privilege escalation or lateral movement.
In a domain-controlled environment, an adversary has obtained a service account's credentials through password spraying. The adversary aims to:	Gain initial access	Perform privilege escalation	Perform lateral movement	It is difficult to determine the adversary's aims without more information	A	With the service account's credentials, the adversary can gain initial access to the system and potentially perform additional actions such as privilege escalation or lateral movement.
Which of the following MITRE ATT&CK techniques is used by Turla to abuse local accounts?	T1078.002	T1087	T1026	T1089	A	Turla uses the technique T1078.003 to abuse local accounts on a network.
Which of the following APT groups has been known to target dormant or inactive user accounts for access and persistence?	APT29	APT32	APT33	APT34	A	APT29 targets dormant or inactive user accounts, accounts belonging to individuals no longer at the organization but whose accounts remain on the system, for access and persistence.
Which of the following MITRE ATT&CK techniques is used by Emotet to facilitate lateral movement after brute forcing a local admin password?	T1078.003	T1087	T1026	T1089	A	Emotet uses the technique T1078.003 to facilitate lateral movement after brute forcing a local admin password.
Which of the following APT groups has been known to use compromised credentials for access as SYSTEM on Exchange servers?	FIN10	FIN7	APT29	APT34	B	FIN7 has used compromised credentials for access as SYSTEM on Exchange servers.
Which of the following MITRE ATT&CK techniques is used by HAFNIUM to create files on Exchange servers?	T1078.003	T1105	T1087	T1026	B	HAFNIUM uses the technique T1105 to create files on Exchange servers.
Which of the following APT groups has been known to use the Local Administrator account for lateral movement?	FIN10	FIN7	APT32	APT29	A	FIN10 has moved laterally using the Local Administrator account.
Which of the following MITRE ATT&CK techniques is used by Cobalt Strike to run commands and spawn processes as a local user account?	T1078.003	T1087	T1026	T1089	B	Cobalt Strike uses the technique T1087 (Impact: Privilege Escalation, Initial Access, Persistence, Defense Evasion) to gain access to a system and run commands as a local user account.
Which of the following APT groups has been known to use a tool called GREASE to add a Windows admin account for continued access via RDP?	Kimsuky	APT29	APT32	APT34	A	Kimsuky has used a tool called GREASE to add a Windows admin account in order to allow them continued access via RDP.
Which of the following MITRE ATT&CK techniques is used by NotPetya to spread itself to remote systems?	T1078.003	T1087	T1026	T1089	D	NotPetya uses the technique T1089 (Impact: Lateral Movement) to spread itself to remote systems using valid credentials with PsExec or wmic.
Which of the following APT groups has been known to use a password reuse attack to gain access to a network?	APT29	APT32	APT33	APT34	A	APT29 has been known to use a password reuse attack to gain access to a network.
Which of the following MITRE ATT&CK techniques is used by FIN7 to access victims' networks?	T1078.003	T1105	T1087	T1026	D	FIN7 has used compromised local accounts to access victims' networks.
Which of the following APT groups has been known to use a brute force attack to gain access to a local admin account?	Emotet	APT32	APT33	APT34	A	Emotet has been known to use a brute force attack to gain access to a local admin account.
Which of the following MITRE ATT&CK techniques is used by Tropic Trooper to execute the backdoor directly?	T1078.003	T1105	T1087	T1026	D	Tropic Trooper has been known to use known administrator account credentials to execute the backdoor directly.
Which of the following APT groups has been known to abuse local accounts that have the same password across the victim's network?	Turla	APT29	APT32	APT34	A	Turla has been known to abuse local accounts that have the same password across the victim's network.
Which of the following MITRE ATT&CK techniques is used by Umbreon to provide access to the system?	T1078.003	T1105	T1087	T1026	B	Umbreon creates valid local users to provide access to the system.
Which of the following MITRE ATT&CK techniques is used by adversaries to obtain and abuse credentials of a local account for Defense Evasion?	T1078.001	T1078.002	T1078.003	T1078.004	C	Adversaries may obtain and abuse credentials of a local account as a means of Defense Evasion using the technique T1078.003.
Which of the following best practices can help prevent reuse of local administrator credentials across a domain?	Implementing LAPS (Local Administrator Password Solution)	Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.	Not auditing local accounts permission levels routinely	Avoiding the use of service accounts in Kubernetes	A	Implementing LAPS (Local Administrator Password Solution) can help prevent reuse of local administrator credentials across a domain.
Which of the following best practices can help detect lateral movement of an adversary?	Monitoring for suspicious account behavior across systems that share accounts, either user, admin, or service accounts.	Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.	Not auditing local accounts permission levels routinely	Implementing LAPS (Local Administrator Password Solution)	A	Monitoring for suspicious account behavior across systems that share accounts, either user, admin, or service accounts, can help detect lateral movement of an adversary.
Which of the following best practices can help prevent the use of compromised credentials for access as SYSTEM on Exchange servers?	Implementing LAPS (Local Administrator Password Solution)	Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.	Not auditing local accounts permission levels routinely	Implementing MFA (Multi-Factor Authentication) for Exchange servers	D	Implementing MFA (Multi-Factor Authentication) for Exchange servers can help prevent the use of compromised credentials for access as SYSTEM.
Which of the following best practices can help detect an attempt by a user to gain access to a network or computing resource, such as the System Security Services Daemon (sssd) on Linux?	Monitoring for suspicious account behavior across systems that share accounts, either user, admin, or service accounts.	Implementing LAPS (Local Administrator Password Solution)	Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.	Implementing auditd on Linux systems to alert on changes to log files that track authentication attempts	D	Implementing auditd on Linux systems to alert on changes to log files that track authentication attempts can help detect an attempt by a user to gain access to a network or computing resource, such as the System Security Services Daemon (sssd) on Linux.
Which of the following best practices can help detect remote desktop logon activity that may be indicative of lateral movement or privilege escalation?	Monitoring for suspicious account behavior across systems that share accounts, either user, admin, or service accounts.	Implementing LAPS (Local Administrator Password Solution)	Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.	Monitoring remote desktop logon activity and comparing it to known/approved originating systems	D	Monitoring remote desktop logon activity and comparing it to known/approved originating systems can help detect remote desktop logon activity that may be indicative of lateral movement or privilege escalation.
Which of the following best practices can help detect multiple users logged into a single machine at the same time or even within the same hour, which may be indicative of lateral movement or privilege escalation?	Monitoring for suspicious account behavior across systems that share accounts, either user, admin, or service accounts.	Implementing LAPS (Local Administrator Password Solution)	Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.	Monitoring logon events for multiple users logged into a single machine at the same time or even within the same hour	D	Monitoring logon events for multiple users logged into a single machine at the same time or even within the same hour can help detect multiple users logged into a single machine at the same time or even within the same hour, which may be indicative of lateral movement or privilege escalation.
Which of the following best practices can help prevent the use of known administrator account credentials to execute the backdoor directly?	Implementing LAPS (Local Administrator Password Solution)	Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.	Not auditing local accounts permission levels routinely	Implementing MFA (Multi-Factor Authentication) for known administrator accounts	D	Implementing MFA (Multi-Factor Authentication) for known administrator accounts can help prevent the use of known administrator account credentials to execute the backdoor directly.
Which of the following best practices can help prevent the use of compromised credentials for access as SYSTEM on a remote system?	Implementing LAPS (Local Administrator Password Solution)	Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.	Not auditing local accounts permission levels routinely	Implementing MFA (Multi-Factor Authentication) for remote systems	D	Implementing MFA (Multi-Factor Authentication) for remote systems can help prevent the use of compromised credentials for access as SYSTEM on a remote system.
