Question,Option A,Option B,Option C,Option D,Model Answer,Correct Answer,Is Correct,Model Response
Which of the following is a deprecated method for executing scripts upon user login in macOS 10.11 and later?,Login Daemon,Startup Script,Login Hook,Initialization Service,C,C,True,"THE CORRECT ANSWER IS: C. LOGIN HOOK

A LOGIN HOOK IS A DEPRECATED METHOD FOR EXECUTING SCRIPTS UPON USER LOGIN IN MACOS 10.11 AND LATER. IT IS REPLACED BY THE LOGIN DAEMON.

A STARTUP SCRIPT IS A SCRIPT THAT IS EXECUTED WHEN A USER LOGS IN TO A COMPUTER. IT IS TYPICALLY USED TO START APPLICATIONS OR PERFORM OTHER TASKS THAT NEED TO BE DONE WHEN A USER LOGS IN.

AN INITIALIZATION SERVICE IS A SERVICE THAT IS STARTED WHEN A COMPUTER BOOTS UP. IT IS TYPICALLY USED TO INITIALIZE HARDWARE OR SOFTWARE COMPONENTS.

A LOGIN DAEMON IS A DAEMON THAT IS STARTED WHEN A USER LOGS IN TO A COMPUTER. IT IS TYPICALLY USED TO MANAGE USER ACCOUNTS AND TO PROVIDE SERVICES TO USERS."
"According to MITRE ATT&CK's Detection guidelines for T1037.002, which data source should be monitored to detect changes to the login hook files?",DS0015 | Network Traffic,DS0026 | Authentication Logs,DS0017 | Command Execution,DS0022 | File Creation and Modification,D,D,True,"THE CORRECT ANSWER IS: D) DS0022 | FILE CREATION AND MODIFICATION.

ACCORDING TO MITRE ATT&CK'S DETECTION GUIDELINES FOR T1037.002, THE FOLLOWING DATA SOURCES SHOULD BE MONITORED TO DETECT CHANGES TO THE LOGIN HOOK FILES:

* DS0022 | FILE CREATION AND MODIFICATION
* DS0023 | FILE SYSTEM AUDITING
* DS0024 | REGISTRY AUDITING
* DS0025 | APPLICATION EVENT LOGGING

OF THESE, DS0022 IS THE MOST SPECIFIC AND RELEVANT DATA SOURCE TO MONITOR FOR CHANGES TO THE LOGIN HOOK FILES."
"Which of the following tools has been known to rely on parent PID spoofing as part of its ""rootkit-like"" functionality?",Empire,Cobalt Strike,DarkGate,KONNI,B,C,False,"THE CORRECT ANSWER IS: **B) COBALT STRIKE**

COBALT STRIKE IS A PENETRATION TESTING AND CYBER ATTACK SIMULATION TOOL THAT CAN BE USED TO LAUNCH ADVANCED PERSISTENT THREATS (APTS). IT IS KNOWN TO RELY ON PARENT PID SPOOFING AS PART OF ITS ""ROOTKIT-LIKE"" FUNCTIONALITY.

EMPIRE IS A POST-EXPLOITATION FRAMEWORK THAT CAN BE USED TO MAINTAIN PERSISTENCE ON A TARGET SYSTEM. IT DOES NOT RELY ON PARENT PID SPOOFING.

DARKGATE IS A MODULAR FRAMEWORK THAT CAN BE USED TO LAUNCH CYBER ATTACKS. IT DOES NOT RELY ON PARENT PID SPOOFING.

KONNI IS A TOOL THAT CAN BE USED TO EXPLOIT VULNERABILITIES IN WINDOWS SYSTEMS. IT DOES NOT RELY ON PARENT PID SPOOFING."
Which threat group is known for hijacking legitimate application-specific startup scripts for persistence using technique T1037 (Boot or Logon Initialization Scripts) on the Enterprise platform?,Rocke,APT29,RotaJakiro,None of the above,A,B,False,"THE CORRECT ANSWER IS: **B) APT29**

APT29 IS A THREAT GROUP THAT IS KNOWN FOR USING A VARIETY OF TECHNIQUES TO GAIN ACCESS TO AND MAINTAIN PERSISTENCE ON VICTIM NETWORKS. ONE OF THE TECHNIQUES THAT APT29 USES IS HIJACKING LEGITIMATE APPLICATION-SPECIFIC STARTUP SCRIPTS FOR PERSISTENCE. THIS TECHNIQUE INVOLVES MODIFYING THE STARTUP SCRIPTS OF LEGITIMATE APPLICATIONS SO THAT THEY RUN MALICIOUS CODE WHEN THE APPLICATION IS STARTED. THIS ALLOWS APT29 TO MAINTAIN PERSISTENCE ON THE VICTIM NETWORK EVEN IF THE ORIGINAL INFECTION VECTOR IS REMOVED.

ROCKE IS A THREAT GROUP THAT IS KNOWN FOR USING A VARIETY OF TECHNIQUES TO STEAL CRYPTOCURRENCY FROM VICTIMS. ONE OF THE TECHNIQUES THAT ROCKE USES IS EXPLOITING VULNERABILITIES IN UNPATCHED SYSTEMS TO GAIN ACCESS TO VICTIM NETWORKS. ONCE THEY HAVE ACCESS TO A VICTIM NETWORK, ROCKE WILL USE A VARIETY OF TOOLS AND TECHNIQUES TO STEAL CRYPTOCURRENCY FROM THE VICTIM'S SYSTEMS.

ROTAJAKIRO IS A THREAT GROUP THAT IS KNOWN FOR USING A VARIETY OF TECHNIQUES TO STEAL DATA FROM VICTIMS. ONE OF THE TECHNIQUES THAT ROTAJAKIRO USES IS PHISHING ATTACKS. PHISHING ATTACKS INVOLVE SENDING EMAILS THAT APPEAR TO BE FROM LEGITIMATE ORGANIZATIONS IN ORDER TO TRICK VICTIMS INTO CLICKING ON MALICIOUS LINKS OR OPENING MALICIOUS ATTACHMENTS. ONCE A VICTIM CLICKS ON A MALICIOUS LINK OR OPENS A MALICIOUS ATTACHMENT, ROTAJAKIRO WILL BE ABLE TO INSTALL MALWARE ON THE VICTIM'S SYSTEM. THIS MALWARE WILL THEN BE USED TO STEAL DATA FROM THE VICTIM'S SYSTEM.

THEREFORE, THE CORRECT ANSWER IS APT29."
Which mitigation strategy involves ensuring proper permission settings for registry keys to prevent unauthorized modifications to logon scripts on the Enterprise platform?,Restrict File and Directory Permissions,Network Segmentation,Restrict Registry Permissions,User Training,C,C,True,"THE CORRECT ANSWER IS C.

RESTRICTING REGISTRY PERMISSIONS IS A MITIGATION STRATEGY THAT INVOLVES ENSURING PROPER PERMISSION SETTINGS FOR REGISTRY KEYS TO PREVENT UNAUTHORIZED MODIFICATIONS TO LOGON SCRIPTS ON THE ENTERPRISE PLATFORM. THIS CAN BE DONE BY GRANTING ONLY AUTHORIZED USERS ACCESS TO THE REGISTRY KEYS AND BY SETTING APPROPRIATE PERMISSIONS ON THE KEYS.

RESTRICTING FILE AND DIRECTORY PERMISSIONS, NETWORK SEGMENTATION, AND USER TRAINING ARE ALL IMPORTANT SECURITY MEASURES, BUT THEY DO NOT SPECIFICALLY ADDRESS THE ISSUE OF UNAUTHORIZED MODIFICATIONS TO LOGON SCRIPTS."
Monitoring which data source can help detect unauthorized modifications to logon scripts in the Active Directory as part of defending against technique T1037 (Boot or Logon Initialization Scripts)?,Process files and modifications,Command and arguments,File creation and modification,Active Directory object modification,D,D,True,"THE CORRECT ANSWER IS: D. ACTIVE DIRECTORY OBJECT MODIFICATION.

ACTIVE DIRECTORY IS A DIRECTORY SERVICE THAT STORES INFORMATION ABOUT USERS, COMPUTERS, AND OTHER RESOURCES IN A NETWORK. IT IS A CRITICAL PART OF MANY ORGANIZATIONS' IT INFRASTRUCTURE, AND IT IS OFTEN TARGETED BY ATTACKERS.

TECHNIQUE T1037 IS A METHOD THAT ATTACKERS USE TO MODIFY LOGON SCRIPTS IN THE ACTIVE DIRECTORY. THIS CAN ALLOW THEM TO GAIN UNAUTHORIZED ACCESS TO SYSTEMS OR TO INSTALL MALWARE.

MONITORING ACTIVE DIRECTORY OBJECT MODIFICATION CAN HELP TO DETECT UNAUTHORIZED CHANGES TO LOGON SCRIPTS. THIS CAN HELP TO PREVENT ATTACKERS FROM USING THIS TECHNIQUE TO GAIN ACCESS TO SYSTEMS.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE AT DETECTING UNAUTHORIZED MODIFICATIONS TO LOGON SCRIPTS. PROCESS FILES AND MODIFICATIONS CAN BE USED TO DETECT CHANGES TO FILES THAT ARE EXECUTED DURING THE BOOT PROCESS, BUT THEY CANNOT DETECT CHANGES TO LOGON SCRIPTS. COMMAND AND ARGUMENTS CAN BE USED TO DETECT CHANGES TO THE COMMANDS THAT ARE EXECUTED DURING THE BOOT PROCESS, BUT THEY CANNOT DETECT CHANGES TO LOGON SCRIPTS. FILE CREATION AND MODIFICATION CAN BE USED TO DETECT CHANGES TO FILES THAT ARE CREATED OR MODIFIED DURING THE BOOT PROCESS, BUT THEY CANNOT DETECT CHANGES TO LOGON SCRIPTS.

THEREFORE, THE CORRECT ANSWER IS: D. ACTIVE DIRECTORY OBJECT MODIFICATION."
Which technique ID refers to adversaries creating cloud instances in unused geographic service regions to evade detection in MITRE ATT&CK?,T1533: Data from Local System,T1562: Impair Defenses,T1535: Unused/Unsupported Cloud Regions,T1547: Boot or Logon Autostart Execution,C,C,True,"THE CORRECT ANSWER IS C.

MITRE ATT&CK IS A KNOWLEDGE BASE OF ADVERSARY TACTICS AND TECHNIQUES USED IN CYBER SECURITY. THE TECHNIQUE ID T1535 REFERS TO ADVERSARIES CREATING CLOUD INSTANCES IN UNUSED GEOGRAPHIC SERVICE REGIONS TO EVADE DETECTION.

THE OTHER OPTIONS ARE INCORRECT. OPTION A, T1533: DATA FROM LOCAL SYSTEM, REFERS TO ADVERSARIES COLLECTING DATA FROM THE LOCAL SYSTEM. OPTION B, T1562: IMPAIR DEFENSES, REFERS TO ADVERSARIES DISABLING OR MODIFYING SECURITY CONTROLS. OPTION D, T1547: BOOT OR LOGON AUTOSTART EXECUTION, REFERS TO ADVERSARIES EXECUTING MALICIOUS CODE AT BOOT OR LOGON."
"In the context of MITRE ATT&CK, which mitigation strategy is recommended to prevent adversaries from utilizing unused cloud regions for Defense Evasion?",Deactivate unused regions in the cloud provider.,Enable all advanced detection services across all regions.,Increase the number of regions under surveillance.,Limit account access to cloud management systems.,A,A,True,"THE CORRECT ANSWER IS: A) DEACTIVATE UNUSED REGIONS IN THE CLOUD PROVIDER.

THE MITRE ATT&CK FRAMEWORK IS A KNOWLEDGE BASE OF ADVERSARY TACTICS AND TECHNIQUES THAT ARE USED IN CYBER ATTACKS. THE FRAMEWORK IS USED BY SECURITY PROFESSIONALS TO UNDERSTAND AND DEFEND AGAINST CYBER ATTACKS.

THE DEFENSE EVASION TACTIC IS USED BY ADVERSARIES TO HIDE THEIR ACTIVITIES FROM DETECTION. ONE WAY THAT ADVERSARIES CAN USE DEFENSE EVASION IS TO UTILIZE UNUSED CLOUD REGIONS. UNUSED CLOUD REGIONS CAN BE USED TO STORE MALICIOUS FILES, LAUNCH ATTACKS, AND EVADE DETECTION.

TO MITIGATE THE RISK OF ADVERSARIES UTILIZING UNUSED CLOUD REGIONS FOR DEFENSE EVASION, IT IS RECOMMENDED TO DEACTIVATE UNUSED REGIONS IN THE CLOUD PROVIDER. THIS WILL PREVENT ADVERSARIES FROM USING THESE REGIONS FOR MALICIOUS PURPOSES.

THE OTHER OPTIONS ARE NOT AS EFFECTIVE IN MITIGATING THE RISK OF ADVERSARIES UTILIZING UNUSED CLOUD REGIONS FOR DEFENSE EVASION. OPTION B, ENABLE ALL ADVANCED DETECTION SERVICES ACROSS ALL REGIONS, MAY BE EFFECTIVE IN DETECTING MALICIOUS ACTIVITY IN UNUSED CLOUD REGIONS, BUT IT DOES NOT PREVENT ADVERSARIES FROM USING THESE REGIONS. OPTION C, INCREASE THE NUMBER OF REGIONS UNDER SURVEILLANCE, MAY INCREASE THE LIKELIHOOD OF DETECTING MALICIOUS ACTIVITY IN UNUSED CLOUD REGIONS, BUT IT DOES NOT PREVENT ADVERSARIES FROM USING THESE REGIONS. OPTION D, LIMIT ACCOUNT ACCESS TO CLOUD MANAGEMENT SYSTEMS, MAY PREVENT ADVERSARIES FROM ACCESSING UNUSED CLOUD REGIONS, BUT IT DOES NOT PREVENT THEM FROM USING OTHER CLOUD REGIONS FOR MALICIOUS PURPOSES.

THEREFORE, THE CORRECT ANSWER IS: A) DEACTIVATE UNUSED REGIONS IN THE CLOUD PROVIDER."
Which tactic does MITRE ATT&CK technique T1550.001 pertain to?,Initial Access,Persistence,Defense Evasion,,A,C,False,"THE CORRECT ANSWER IS: A) INITIAL ACCESS

MITRE ATT&CK TECHNIQUE T1550.001 IS ""CREATE OR USE ACCOUNT."" THIS TECHNIQUE IS USED BY ATTACKERS TO CREATE OR USE AN ACCOUNT ON A TARGET SYSTEM IN ORDER TO GAIN INITIAL ACCESS.

THE OTHER OPTIONS ARE INCORRECT BECAUSE:

* OPTION B, ""PERSISTENCE,"" IS USED BY ATTACKERS TO MAINTAIN ACCESS TO A TARGET SYSTEM AFTER THEY HAVE GAINED INITIAL ACCESS.
* OPTION C, ""DEFENSE EVASION,"" IS USED BY ATTACKERS TO EVADE DETECTION AND ANALYSIS BY SECURITY TOOLS.
* OPTION D, ""NAN,"" IS NOT A VALID OPTION."
What is the primary purpose of application access tokens as described in T1550.001?,To directly store user credentials,To make authorized API requests on behalf of a user or service,To serve as alternative passwords for user accounts,To encrypt sensitive user data,B,B,True,"THE CORRECT ANSWER IS: B.

APPLICATION ACCESS TOKENS ARE USED TO MAKE AUTHORIZED API REQUESTS ON BEHALF OF A USER OR SERVICE. THEY ARE NOT USED TO DIRECTLY STORE USER CREDENTIALS, SERVE AS ALTERNATIVE PASSWORDS FOR USER ACCOUNTS, OR ENCRYPT SENSITIVE USER DATA."
Which OAuth-related action can an adversary perform using a compromised access token in cloud-based email services?,Generate new access tokens,Encrypt communications,Perform REST API functions such as email searching and contact enumeration,Disable two-factor authentication,C,C,True,"THE CORRECT ANSWER IS C.

OAUTH IS AN OPEN STANDARD FOR AUTHORIZATION THAT ENABLES THIRD-PARTY APPLICATIONS TO ACCESS USER DATA ON A WEB SERVER WITHOUT THE USER HAVING TO PROVIDE THEIR USERNAME AND PASSWORD. A COMPROMISED ACCESS TOKEN CAN BE USED BY AN ADVERSARY TO PERFORM REST API FUNCTIONS SUCH AS EMAIL SEARCHING AND CONTACT ENUMERATION.

GENERATING NEW ACCESS TOKENS IS NOT POSSIBLE WITH A COMPROMISED ACCESS TOKEN. ENCRYPTING COMMUNICATIONS REQUIRES THE USE OF A KEY, WHICH IS NOT TYPICALLY STORED IN AN ACCESS TOKEN. DISABLING TWO-FACTOR AUTHENTICATION REQUIRES THE USER'S PASSWORD, WHICH IS NOT TYPICALLY STORED IN AN ACCESS TOKEN."
"During the SolarWinds Compromise (C0024), what specific method did APT29 use to make changes to the Office 365 environment?",Exploiting zero-day vulnerabilities,Crafting spear-phishing emails,Using compromised service principals,Intercepting network traffic,C,C,True,"THE CORRECT ANSWER IS: C.

APT29 USED COMPROMISED SERVICE PRINCIPALS TO MAKE CHANGES TO THE OFFICE 365 ENVIRONMENT. SERVICE PRINCIPALS ARE ACCOUNTS THAT ARE USED BY APPLICATIONS TO ACCESS RESOURCES ON A NETWORK. APT29 COMPROMISED THESE ACCOUNTS BY STEALING THEIR PASSWORDS OR BY USING PHISHING ATTACKS TO TRICK USERS INTO GIVING UP THEIR CREDENTIALS. ONCE THEY HAD ACCESS TO THESE ACCOUNTS, APT29 WAS ABLE TO USE THEM TO MAKE CHANGES TO THE OFFICE 365 ENVIRONMENT, SUCH AS ADDING NEW USERS OR GROUPS, OR CHANGING PERMISSIONS.

EXPLOITING ZERO-DAY VULNERABILITIES IS A METHOD THAT ATTACKERS USE TO TAKE ADVANTAGE OF SECURITY VULNERABILITIES THAT HAVE NOT YET BEEN PATCHED. THIS CAN BE A VERY EFFECTIVE WAY TO GAIN ACCESS TO A SYSTEM, BUT IT IS ALSO A VERY RISKY METHOD, AS IT CAN BE DETECTED BY SECURITY SYSTEMS.

CRAFTING SPEAR-PHISHING EMAILS IS A METHOD THAT ATTACKERS USE TO TRICK USERS INTO CLICKING ON MALICIOUS LINKS OR OPENING MALICIOUS ATTACHMENTS. THIS CAN BE A VERY EFFECTIVE WAY TO INFECT A SYSTEM WITH MALWARE, BUT IT IS ALSO A RELATIVELY LOW-RISK METHOD, AS IT DOES NOT REQUIRE THE ATTACKER TO HAVE ANY SPECIFIC KNOWLEDGE OF THE SYSTEM THEY ARE TARGETING.

INTERCEPTING NETWORK TRAFFIC IS A METHOD THAT ATTACKERS USE TO EAVESDROP ON COMMUNICATIONS BETWEEN TWO SYSTEMS. THIS CAN BE A VERY EFFECTIVE WAY TO GATHER INFORMATION ABOUT A SYSTEM, BUT IT IS ALSO A VERY DIFFICULT METHOD TO EXECUTE, AS IT REQUIRES THE ATTACKER TO HAVE ACCESS TO THE NETWORK BETWEEN THE TWO SYSTEMS."
Which mitigation strategy advises the use of token binding to cryptographically secure an application access token?,Application Developer Guidance (M1013),Encrypt Sensitive Information (M1041),Restrict Web-Based Content (M1021),Audit (M1047),B,A,False,"THE CORRECT ANSWER IS: **B**

TOKEN BINDING IS A SECURITY MECHANISM THAT LINKS A SECURITY TOKEN TO A SPECIFIC USER OR ENTITY. THIS HELPS TO PREVENT UNAUTHORIZED ACCESS TO RESOURCES, AS THE TOKEN CANNOT BE USED WITHOUT THE CORRESPONDING USER OR ENTITY.

ENCRYPTING SENSITIVE INFORMATION IS A SECURITY MECHANISM THAT PROTECTS DATA FROM UNAUTHORIZED ACCESS BY SCRAMBLING IT USING A MATHEMATICAL ALGORITHM. THIS MAKES IT DIFFICULT FOR UNAUTHORIZED USERS TO READ THE DATA, EVEN IF THEY ARE ABLE TO OBTAIN IT.

RESTRICTING WEB-BASED CONTENT IS A SECURITY MECHANISM THAT LIMITS THE TYPES OF CONTENT THAT CAN BE ACCESSED ON A WEB SERVER. THIS HELPS TO PREVENT USERS FROM ACCESSING MALICIOUS CONTENT, SUCH AS MALWARE OR PHISHING WEBSITES.

AUDITING IS A SECURITY MECHANISM THAT TRACKS AND RECORDS USER ACTIVITY. THIS HELPS TO IDENTIFY UNAUTHORIZED ACCESS TO RESOURCES AND TO INVESTIGATE SECURITY INCIDENTS.

OF THE FOUR OPTIONS, ONLY TOKEN BINDING SPECIFICALLY ADVISES THE USE OF CRYPTOGRAPHIC SECURITY TO PROTECT AN APPLICATION ACCESS TOKEN. THEREFORE, THE CORRECT ANSWER IS **B**."
"According to Detection insights for T1550.001, what activity should be monitored to detect misuse of application access tokens?",File transfer logs,Network traffic patterns,Web Credential Usage,User login attempts,B,C,False,"THE CORRECT ANSWER IS: **B) NETWORK TRAFFIC PATTERNS**

ACCORDING TO DETECTION INSIGHTS FOR T1550.001, MISUSE OF APPLICATION ACCESS TOKENS CAN BE DETECTED BY MONITORING NETWORK TRAFFIC PATTERNS FOR UNUSUAL ACTIVITY, SUCH AS A SUDDEN INCREASE IN THE NUMBER OF REQUESTS FROM A SINGLE IP ADDRESS OR A CHANGE IN THE DESTINATION OF REQUESTS.

FILE TRANSFER LOGS, WEB CREDENTIAL USAGE, AND USER LOGIN ATTEMPTS ARE NOT SPECIFIC INDICATORS OF MISUSE OF APPLICATION ACCESS TOKENS."
What is the purpose of the Pass the Hash technique (T1550.002) in cyber threat intelligence?,To encrypt the authentication channel used in communications,To authenticate as a user without having access to their cleartext password,To intercept and manipulate network traffic,To encrypt stored password hashes,B,B,True,"THE CORRECT ANSWER IS: B.

PASS THE HASH IS A TECHNIQUE USED BY ATTACKERS TO AUTHENTICATE AS A USER ON A SYSTEM WITHOUT HAVING ACCESS TO THEIR CLEARTEXT PASSWORD. THIS IS DONE BY STEALING THE HASH OF THE USER'S PASSWORD FROM THE SYSTEM AND THEN USING THAT HASH TO AUTHENTICATE TO THE SYSTEM.

THE OTHER OPTIONS ARE INCORRECT. OPTION A IS INCORRECT BECAUSE PASS THE HASH DOES NOT ENCRYPT THE AUTHENTICATION CHANNEL USED IN COMMUNICATIONS. OPTION C IS INCORRECT BECAUSE PASS THE HASH DOES NOT INTERCEPT AND MANIPULATE NETWORK TRAFFIC. OPTION D IS INCORRECT BECAUSE PASS THE HASH DOES NOT ENCRYPT STORED PASSWORD HASHES."
Which of the following groups has used tools such as Mimikatz for lateral movement via captured password hashes according to MITRE ATT&CK?,APT29,APT41,APT33,APT32,A,B,False,"THE CORRECT ANSWER IS: **A) APT29**

APT29 IS A CYBER ESPIONAGE GROUP THAT HAS BEEN ACTIVE SINCE AT LEAST 2010. THE GROUP IS BELIEVED TO BE SPONSORED BY THE RUSSIAN GOVERNMENT AND IS KNOWN FOR ITS SOPHISTICATED ATTACKS AGAINST HIGH-VALUE TARGETS, INCLUDING GOVERNMENT AGENCIES, THINK TANKS, AND CORPORATIONS.

APT29 HAS BEEN LINKED TO THE USE OF A NUMBER OF TOOLS AND TECHNIQUES, INCLUDING MIMIKATZ, A PASSWORD-STEALING TOOL. MIMIKATZ CAN BE USED TO EXTRACT PASSWORD HASHES FROM MEMORY, WHICH CAN THEN BE USED TO IMPERSONATE USERS AND GAIN ACCESS TO SYSTEMS.

APT29 HAS ALSO BEEN KNOWN TO USE LATERAL MOVEMENT TECHNIQUES, SUCH AS EXPLOITING VULNERABILITIES IN REMOTE DESKTOP SERVICES (RDS) TO MOVE FROM ONE SYSTEM TO ANOTHER. LATERAL MOVEMENT ALLOWS ATTACKERS TO GAIN ACCESS TO MORE SYSTEMS AND DATA, AND CAN MAKE IT MORE DIFFICULT TO TRACK AND STOP THEIR ATTACKS.

THE USE OF MIMIKATZ AND LATERAL MOVEMENT TECHNIQUES ARE CONSISTENT WITH THE TACTICS, TECHNIQUES, AND PROCEDURES (TTPS) OF APT29. THEREFORE, THE MOST LIKELY ANSWER TO THE QUESTION IS THAT APT29 HAS USED TOOLS SUCH AS MIMIKATZ FOR LATERAL MOVEMENT VIA CAPTURED PASSWORD HASHES ACCORDING TO MITRE ATT&CK."
How does 'Overpass the Hash' differ from 'Pass the Hash'?,It introduces encryption to communications,It uses the password hash to create a Kerberos ticket,It only works on Linux systems,It requires re-authentication every session,B,B,True,"THE CORRECT ANSWER IS: **B**.

OVERPASS THE HASH IS A TECHNIQUE THAT USES THE PASSWORD HASH TO CREATE A KERBEROS TICKET. THIS TICKET CAN THEN BE USED TO AUTHENTICATE TO A REMOTE SYSTEM WITHOUT THE NEED TO ENTER THE PASSWORD AGAIN. PASS THE HASH, ON THE OTHER HAND, IS A TECHNIQUE THAT SIMPLY PASSES THE PASSWORD HASH TO THE REMOTE SYSTEM. THIS MEANS THAT THE PASSWORD HASH IS STORED ON THE REMOTE SYSTEM, WHICH COULD BE A SECURITY RISK.

HERE IS A MORE DETAILED EXPLANATION OF EACH OPTION:

* OPTION A: IT INTRODUCES ENCRYPTION TO COMMUNICATIONS. THIS IS NOT A CORRECT ANSWER BECAUSE OVERPASS THE HASH DOES NOT INTRODUCE ENCRYPTION TO COMMUNICATIONS.
* OPTION B: IT USES THE PASSWORD HASH TO CREATE A KERBEROS TICKET. THIS IS THE CORRECT ANSWER BECAUSE OVERPASS THE HASH USES THE PASSWORD HASH TO CREATE A KERBEROS TICKET.
* OPTION C: IT ONLY WORKS ON LINUX SYSTEMS. THIS IS NOT A CORRECT ANSWER BECAUSE OVERPASS THE HASH CAN BE USED ON BOTH LINUX AND WINDOWS SYSTEMS.
* OPTION D: IT REQUIRES RE-AUTHENTICATION EVERY SESSION. THIS IS NOT A CORRECT ANSWER BECAUSE OVERPASS THE HASH DOES NOT REQUIRE RE-AUTHENTICATION EVERY SESSION."
What Windows Security event ID may indicate the use of Pass the Hash for lateral movement between workstations?,4662,4624,4672,4769,B,B,True,"THE CORRECT ANSWER IS: **B) 4624**

EVENT ID 4624 IS GENERATED WHEN A USER LOGS ON TO A COMPUTER. THIS EVENT INCLUDES THE USER'S NAME, DOMAIN, AND THE TYPE OF LOGON (INTERACTIVE, NETWORK, OR BATCH). IF A USER LOGS ON USING PASS THE HASH, EVENT ID 4624 WILL BE GENERATED.

EVENT ID 4662 IS GENERATED WHEN A USER LOGS OFF FROM A COMPUTER. THIS EVENT INCLUDES THE USER'S NAME, DOMAIN, AND THE TIME OF LOGOUT.

EVENT ID 4672 IS GENERATED WHEN A USER CHANGES THEIR PASSWORD. THIS EVENT INCLUDES THE USER'S NAME, DOMAIN, THE OLD PASSWORD, AND THE NEW PASSWORD.

EVENT ID 4769 IS GENERATED WHEN A USER IS GRANTED A KERBEROS TICKET. THIS EVENT INCLUDES THE USER'S NAME, DOMAIN, THE TYPE OF TICKET, AND THE EXPIRATION DATE OF THE TICKET."
Which mitigation strategy could help prevent the effectiveness of Pass the Hash attacks?,Malware protection,Intrusion detection,Privileged Account Management,Antivirus software,C,C,True,"THE CORRECT ANSWER IS: C) PRIVILEGED ACCOUNT MANAGEMENT.

PRIVILEGED ACCOUNT MANAGEMENT (PAM) IS A SECURITY STRATEGY THAT HELPS ORGANIZATIONS MANAGE AND PROTECT THEIR MOST SENSITIVE ACCOUNTS. PAM SOLUTIONS CAN HELP ORGANIZATIONS IMPLEMENT A VARIETY OF SECURITY CONTROLS, INCLUDING:

* ACCOUNT PROVISIONING AND DEPROVISIONING
* PASSWORD MANAGEMENT
* ACCESS CONTROL
* SESSION MANAGEMENT
* AUDITING AND REPORTING

PAM CAN HELP ORGANIZATIONS PREVENT PASS THE HASH ATTACKS BY:

* REQUIRING STRONG PASSWORDS FOR PRIVILEGED ACCOUNTS
* ROTATING PASSWORDS REGULARLY
* IMPLEMENTING MULTI-FACTOR AUTHENTICATION
* MONITORING PRIVILEGED ACCOUNT ACTIVITY
* LOGGING AND AUDITING PRIVILEGED ACCOUNT ACCESS

MALWARE PROTECTION, INTRUSION DETECTION, AND ANTIVIRUS SOFTWARE ARE ALL IMPORTANT SECURITY CONTROLS, BUT THEY DO NOT SPECIFICALLY ADDRESS THE RISKS ASSOCIATED WITH PASS THE HASH ATTACKS."
Which tool is capable of performing Pass the Hash on x64 versions of compromised machines according to MITRE ATT&CK?,Mimikatz,CrackMapExec,BADHATCH,Cobalt Strike,A,C,False,"THE CORRECT ANSWER IS: A) MIMIKATZ.

MIMIKATZ IS A FREE AND OPEN-SOURCE UTILITY FOR WINDOWS THAT CAN BE USED TO EXTRACT PASSWORDS, HASHES, AND OTHER SENSITIVE INFORMATION FROM MEMORY. IT IS A POWERFUL TOOL THAT CAN BE USED BY ATTACKERS TO GAIN ACCESS TO SYSTEMS AND NETWORKS.

MIMIKATZ IS CAPABLE OF PERFORMING PASS THE HASH ON X64 VERSIONS OF COMPROMISED MACHINES. THIS MEANS THAT IT CAN BE USED TO STEAL THE HASHES OF USER PASSWORDS AND THEN USE THOSE HASHES TO AUTHENTICATE TO OTHER SYSTEMS ON THE NETWORK.

CRACKMAPEXEC IS A COMMAND-LINE TOOL THAT CAN BE USED TO EXECUTE COMMANDS ON REMOTE SYSTEMS. IT IS OFTEN USED BY ATTACKERS TO SPREAD MALWARE OR TO GAIN FURTHER ACCESS TO A SYSTEM.

BADHATCH IS A TOOL THAT CAN BE USED TO EXTRACT PASSWORDS FROM WINDOWS LSASS MEMORY DUMPS. IT IS OFTEN USED BY ATTACKERS TO RECOVER PASSWORDS THAT HAVE BEEN USED TO LOG IN TO A SYSTEM.

COBALT STRIKE IS A COMMERCIAL PENETRATION TESTING FRAMEWORK THAT CAN BE USED TO SIMULATE REAL-WORLD ATTACKS. IT IS OFTEN USED BY ATTACKERS TO GAIN ACCESS TO SYSTEMS AND NETWORKS.

THEREFORE, THE CORRECT ANSWER IS: A) MIMIKATZ."
